Invoices_h_id,Account_id,Emp_id,Date_d,Time_t,Total_total
1,594,15,01/01/2022,09:58:11 ص,967
161,653,22,02/01/2022,09:55:40 ص,97.5
320,594,15,03/01/2022,09:36:47 ص,492
321,614,15,03/01/2022,10:03:21 ص,62
325,2113,15,03/01/2022,10:27:39 ص,46.5
501,1358,15,04/01/2022,09:57:16 ص,908
658,1051,15,05/01/2022,09:48:48 ص,587
803,1920,15,06/01/2022,09:34:41 ص,772
985,1954,22,08/01/2022,09:39:21 ص,27634
1145,594,15,09/01/2022,10:02:54 ص,814.25
1171,614,15,09/01/2022,12:45:55 م,15
326,879,15,03/01/2022,10:28:16 ص,925
322,315,1,03/01/2022,10:11:09 ص,3351
162,653,22,02/01/2022,09:59:06 ص,1319
1172,614,15,09/01/2022,12:47:18 م,401.5
659,160,22,05/01/2022,09:57:58 ص,53357
502,380,23,04/01/2022,09:59:10 ص,1410
2,614,15,01/01/2022,10:05:53 ص,123
804,1358,15,06/01/2022,09:52:25 ص,240
3,296,1,01/01/2022,10:07:53 ص,5562.5
163,614,15,02/01/2022,10:05:05 ص,215
660,935,22,05/01/2022,10:03:34 ص,21103
323,210,1,03/01/2022,10:15:25 ص,24322
1146,2113,15,09/01/2022,10:12:49 ص,70
164,280,15,02/01/2022,10:11:03 ص,179.5
503,187,23,04/01/2022,10:05:15 ص,
324,187,23,03/01/2022,10:23:00 ص,3050
4,1557,15,01/01/2022,10:11:22 ص,133.5
5,1121,1,01/01/2022,10:12:10 ص,
165,1279,22,02/01/2022,10:19:17 ص,4177
6,210,1,01/01/2022,10:18:20 ص,27542
661,1358,15,05/01/2022,10:08:02 ص,457
1147,594,15,09/01/2022,10:20:32 ص,150
166,1516,15,02/01/2022,10:20:05 ص,187.5
504,147,15,04/01/2022,10:07:28 ص,50
805,160,22,06/01/2022,09:56:21 ص,
1148,391,22,09/01/2022,10:30:59 ص,28137.5
7,716,22,01/01/2022,10:23:31 ص,10597.5
505,653,22,04/01/2022,10:16:20 ص,1366
806,315,1,06/01/2022,09:58:03 ص,6564.2
327,722,15,03/01/2022,10:30:34 ص,104
662,450,15,05/01/2022,10:12:26 ص,119
807,730,1,06/01/2022,09:58:20 ص,28044.5
8,160,22,01/01/2022,10:24:37 ص,
167,722,15,02/01/2022,10:24:46 ص,304
1149,722,15,09/01/2022,10:35:57 ص,197
986,1481,22,08/01/2022,09:57:12 ص,4359.5
328,615,15,03/01/2022,10:32:42 ص,
329,978,0,03/01/2022,10:34:20 ص,1581
663,669,23,05/01/2022,10:19:32 ص,
506,1689,22,04/01/2022,10:24:34 ص,1784.68
168,1276,15,02/01/2022,10:31:12 ص,221.5
330,2113,15,03/01/2022,10:44:32 ص,62
507,614,15,04/01/2022,10:26:02 ص,55
331,314,22,03/01/2022,10:53:05 ص,3370.5
169,1689,22,02/01/2022,10:40:34 ص,3656
9,614,15,01/01/2022,10:42:41 ص,120
170,736,23,02/01/2022,10:40:54 ص,1875.5
808,1987,15,06/01/2022,10:03:57 ص,1449
1150,1833,15,09/01/2022,10:38:06 ص,561
664,1437,15,05/01/2022,10:30:44 ص,262
665,1561,22,05/01/2022,10:30:49 ص,62888.5
10,502,23,01/01/2022,10:47:28 ص,2665
666,1338,1,05/01/2022,10:31:09 ص,3758.5
508,159,23,04/01/2022,10:31:09 ص,1817.3
509,1830,15,04/01/2022,10:32:55 ص,299
1151,1939,15,09/01/2022,10:40:41 ص,411
1152,256,23,09/01/2022,10:41:03 ص,1897.5
809,594,15,06/01/2022,10:06:38 ص,1002.5
332,144,37,03/01/2022,10:59:02 ص,
333,2011,15,03/01/2022,10:59:49 ص,284.5
987,360,22,08/01/2022,10:08:29 ص,3608.5
510,1444,15,04/01/2022,10:37:43 ص,1124.75
11,360,22,01/01/2022,10:55:48 ص,8867.1
334,614,15,03/01/2022,11:10:18 ص,106
171,1811,22,02/01/2022,10:50:15 ص,1901.5
335,1642,15,03/01/2022,11:25:09 ص,122
172,1422,23,02/01/2022,10:51:22 ص,3237
12,614,15,01/01/2022,11:00:17 ص,101.6
173,396,22,02/01/2022,10:51:33 ص,14042.5
13,1870,1,01/01/2022,11:00:18 ص,2165.5
336,669,23,03/01/2022,11:27:26 ص,1458.5
337,502,23,03/01/2022,11:27:36 ص,1684
14,614,15,01/01/2022,11:01:30 ص,63
511,1811,22,04/01/2022,10:42:49 ص,987.5
512,144,37,04/01/2022,10:44:50 ص,
513,614,15,04/01/2022,10:45:55 ص,135
1153,1939,15,09/01/2022,10:50:24 ص,158
514,1444,15,04/01/2022,10:56:20 ص,97.5
15,1307,15,01/01/2022,11:03:06 ص,317
174,614,15,02/01/2022,10:56:27 ص,46.5
988,314,22,08/01/2022,10:25:40 ص,3013
1154,372,23,09/01/2022,10:52:57 ص,2823.5
667,1833,15,05/01/2022,10:40:02 ص,781
338,1757,22,03/01/2022,11:32:15 ص,1529
515,231,22,04/01/2022,11:05:33 ص,6555
989,716,22,08/01/2022,10:25:51 ص,1970
175,1148,1,02/01/2022,11:01:35 ص,
810,1099,23,06/01/2022,10:17:13 ص,
516,461,1,04/01/2022,11:06:54 ص,4685
176,320,1,02/01/2022,11:02:19 ص,3286
811,614,15,06/01/2022,10:18:03 ص,425
339,1216,15,03/01/2022,11:34:13 ص,3318
177,1060,22,02/01/2022,11:02:50 ص,2093.75
178,1677,15,02/01/2022,11:04:45 ص,465.5
16,614,15,01/01/2022,11:05:55 ص,1275.5
668,1720,15,05/01/2022,10:43:07 ص,994
179,1311,1,02/01/2022,11:05:55 ص,
812,1481,22,06/01/2022,10:23:18 ص,4341
180,1119,15,02/01/2022,11:06:40 ص,32
