Order_h_id,Account_id,Emp_id,Date_d,Time_t,Total_total
1,204,0,01/01/2022,10:52:38 ص,23500
5,779,0,02/01/2022,01:44:04 م,36155
54,819,0,06/01/2022,10:49:11 ص,159470
42,204,0,05/01/2022,12:46:22 م,19000
14,1477,0,03/01/2022,12:43:39 م,54155.04
30,761,0,04/01/2022,01:20:57 م,2500
2,774,0,01/01/2022,01:00:58 م,52900
43,1477,0,05/01/2022,12:47:13 م,5100
31,782,0,04/01/2022,02:04:32 م,40696.24
6,824,0,02/01/2022,03:50:34 م,57992.96
3,766,0,01/01/2022,02:30:06 م,32600
15,772,0,03/01/2022,01:01:39 م,14999.99
44,793,0,05/01/2022,02:20:23 م,58535.04
16,1517,0,03/01/2022,01:03:09 م,9560
4,782,0,01/01/2022,02:30:50 م,34511.24
32,774,0,04/01/2022,02:32:33 م,59090
55,811,0,06/01/2022,01:14:44 م,79270
45,773,0,05/01/2022,02:21:55 م,64625
17,819,0,03/01/2022,01:10:15 م,217017.5
56,1265,0,06/01/2022,01:21:17 م,21800
7,766,0,02/01/2022,04:52:46 م,17500
46,824,0,05/01/2022,03:23:59 م,74146.32
8,1747,0,02/01/2022,04:54:23 م,25330.7
18,763,0,03/01/2022,02:03:30 م,2100
33,264,15,04/01/2022,03:00:48 م,7000.2
9,823,0,02/01/2022,10:10:36 م,15724.8
34,766,0,04/01/2022,03:02:49 م,71681.05
19,1451,0,03/01/2022,02:07:16 م,6277.5
47,766,0,05/01/2022,03:38:06 م,30520
10,816,0,02/01/2022,10:17:08 م,66080.1
20,830,0,03/01/2022,02:52:26 م,11222.4
21,759,0,03/01/2022,02:52:50 م,6487
11,777,0,02/01/2022,11:23:39 م,91130
22,782,0,03/01/2022,03:21:29 م,35178.8
23,2130,0,03/01/2022,03:37:32 م,97863.07
12,872,37,02/01/2022,11:31:17 م,2872.15
35,1477,0,04/01/2022,04:19:50 م,38105.04
79,782,0,09/01/2022,02:42:30 م,28245.18
122,204,0,12/01/2022,12:38:28 م,23750
104,1517,0,11/01/2022,11:26:15 ص,12250
89,779,0,10/01/2022,11:55:41 ص,30900
48,777,0,05/01/2022,03:58:12 م,76650
126,819,0,13/01/2022,11:21:10 ص,141987
57,1517,0,06/01/2022,01:24:25 م,18250
123,1477,0,12/01/2022,12:39:55 م,32125
105,774,0,11/01/2022,01:02:29 م,61620
36,774,0,04/01/2022,04:56:50 م,56830
90,759,0,10/01/2022,12:40:34 م,4800
69,872,37,08/01/2022,11:31:39 ص,3607.5
80,784,0,09/01/2022,02:47:20 م,18540
58,1451,0,06/01/2022,01:41:11 م,18572.5
70,824,0,08/01/2022,11:37:03 ص,133900.95
106,1451,0,11/01/2022,01:22:32 م,18300
37,1274,0,04/01/2022,04:58:51 م,61069.74
24,812,0,03/01/2022,05:40:36 م,47200
81,833,0,09/01/2022,02:47:48 م,10660
91,824,0,01/01/2022,02:14:23 م,69035.96
38,779,0,04/01/2022,04:59:17 م,51500
49,1451,0,05/01/2022,04:05:24 م,9937.5
82,773,0,09/01/2022,02:48:18 م,65825
71,1477,0,08/01/2022,12:40:45 م,73825
50,785,0,05/01/2022,04:08:06 م,11700
92,2130,0,10/01/2022,02:25:11 م,51240.05
51,460,22,05/01/2022,04:44:16 م,9100
25,204,0,03/01/2022,06:36:33 م,19000
83,819,0,09/01/2022,02:53:54 م,218579.19
26,1477,0,03/01/2022,06:37:29 م,16391.4
59,773,0,06/01/2022,02:54:08 م,10610
52,782,0,05/01/2022,05:54:19 م,34018.3
60,766,0,06/01/2022,03:22:32 م,99950
27,973,0,03/01/2022,07:23:48 م,50419.65
39,2130,0,04/01/2022,06:35:55 م,68605.34
61,775,0,06/01/2022,04:11:06 م,
53,780,0,05/01/2022,07:46:24 م,58010
62,775,0,06/01/2022,04:11:58 م,31287.25
28,824,0,03/01/2022,09:32:23 م,64485.95
63,759,0,06/01/2022,04:39:34 م,6393
29,823,0,03/01/2022,09:38:09 م,18820.92
64,824,0,06/01/2022,04:40:13 م,41064.78
40,460,22,04/01/2022,07:33:08 م,1860
41,832,0,04/01/2022,08:03:55 م,102627.5
84,775,0,09/01/2022,03:40:20 م,28612.94
124,759,0,12/01/2022,12:41:33 م,4959
146,811,0,16/01/2022,11:38:22 ص,20440
147,204,0,16/01/2022,02:32:02 م,18800
72,782,0,08/01/2022,04:10:57 م,32025.37
171,766,0,18/01/2022,11:29:19 ص,39774
107,792,0,11/01/2022,01:58:16 م,9000
93,770,0,10/01/2022,02:28:33 م,86615.15
141,1451,0,15/01/2022,01:35:30 م,13557.51
65,766,0,06/01/2022,04:56:52 م,31025
154,1517,0,17/01/2022,11:42:40 ص,18300
179,793,0,18/01/2022,08:01:23 م,20368
148,777,0,16/01/2022,02:32:56 م,74920
108,815,0,11/01/2022,02:31:41 م,59230
125,782,0,12/01/2022,03:07:34 م,19505.64
73,774,0,08/01/2022,04:14:47 م,62670
109,763,0,11/01/2022,02:37:18 م,2100
85,833,0,09/01/2022,05:49:39 م,5635
127,872,37,13/01/2022,11:48:29 ص,3854.65
74,798,0,08/01/2022,04:17:28 م,18546.75
86,529,14,09/01/2022,05:50:45 م,13500
110,760,0,11/01/2022,03:44:52 م,2400
111,820,0,11/01/2022,03:53:01 م,15600
87,812,0,09/01/2022,06:37:22 م,47011.2
66,1070,0,06/01/2022,08:51:56 م,15162
142,779,0,15/01/2022,02:32:05 م,25750
94,773,0,10/01/2022,03:39:01 م,7830
143,811,0,15/01/2022,02:49:17 م,19500
128,2079,1,13/01/2022,12:01:49 م,4000
95,766,0,10/01/2022,03:39:40 م,69150.05
67,775,0,06/01/2022,09:10:38 م,16778
75,1082,0,08/01/2022,04:59:58 م,6290
129,831,0,13/01/2022,01:26:08 م,228648.91
112,779,0,11/01/2022,04:12:56 م,9744
68,775,0,06/01/2022,09:32:14 م,90416
96,733,23,10/01/2022,03:46:13 م,2004
