Order_r_h_id,Account_id,Emp_id,Date_d,Time_t,Total_total
1,823,,03/01/2022,09:40:08 م,
2,777,,05/01/2022,04:02:12 م,933.5
3,815,,11/01/2022,02:31:55 م,
5,777,,16/01/2022,02:34:22 م,734.35
6,815,,29/01/2022,01:53:41 م,61.6
9,777,,02/02/2022,04:45:18 م,
11,774,,07/02/2022,03:18:33 م,131.4
13,777,,08/02/2022,01:03:14 م,1600.2
17,815,,15/02/2022,02:16:04 م,61.6
10,777,,02/02/2022,04:45:46 م,3839.55
7,1399,0,29/01/2022,04:17:23 م,
21,774,,01/03/2022,02:14:37 م,68.2
23,718,,03/03/2022,01:16:20 م,
18,777,,20/02/2022,06:32:44 م,635
8,1399,0,29/01/2022,04:18:28 م,
24,777,,06/03/2022,02:21:28 م,926.5
25,777,,09/03/2022,07:03:16 م,1223.25
12,807,,07/02/2022,03:48:35 م,62.2
26,763,,12/03/2022,02:19:13 م,495
27,1629,,13/03/2022,08:08:29 م,1267
29,777,0,14/03/2022,01:55:56 م,816.25
30,777,,22/03/2022,01:19:05 م,1098.25
20,774,,27/02/2022,01:59:31 م,189.6
19,777,0,20/02/2022,06:33:26 م,62.5
22,777,,01/03/2022,04:30:30 م,472.85
4,815,,11/01/2022,04:57:02 م,522.8
33,1629,,26/03/2022,11:34:13 م,
34,824,,28/03/2022,07:15:26 م,696
38,777,,04/04/2022,04:57:42 م,1229.7
40,824,,11/04/2022,04:59:43 م,89.04
14,777,0,08/02/2022,01:05:42 م,290
41,777,0,13/04/2022,09:53:14 م,724.5
42,1082,0,16/04/2022,01:34:28 م,
44,1082,,17/04/2022,01:19:21 م,83
35,1629,,28/03/2022,09:19:08 م,253.4
28,1629,,13/03/2022,09:38:25 م,126.7
45,834,,20/04/2022,10:28:35 م,105
31,777,0,22/03/2022,01:20:14 م,
15,1629,0,08/02/2022,09:28:24 م,
47,777,,21/04/2022,02:58:00 م,
36,1629,,29/03/2022,01:10:21 م,
43,1082,,16/04/2022,01:41:03 م,830
16,1629,,08/02/2022,09:29:58 م,
32,777,0,22/03/2022,01:20:45 م,227.5
39,718,,06/04/2022,10:35:39 ص,3100
37,772,,02/04/2022,06:04:23 م,
49,1082,,26/04/2022,05:34:29 م,498
50,1082,,28/04/2022,01:34:44 م,63
52,424,,30/04/2022,01:03:25 م,2750
53,777,,10/05/2022,04:10:39 م,1897.25
46,834,,20/04/2022,10:35:25 م,105
51,759,,28/04/2022,09:28:40 م,22
48,777,,21/04/2022,03:29:46 م,1647.5
54,1265,,14/05/2022,03:15:02 م,273.33
58,777,,16/05/2022,01:55:25 م,1357.75
61,774,,17/05/2022,01:45:41 م,164.4
63,1629,,19/05/2022,01:51:03 م,126.71
56,1265,0,14/05/2022,03:16:07 م,
57,1265,0,14/05/2022,03:18:03 م,
62,786,,17/05/2022,08:29:02 م,
59,777,0,16/05/2022,01:58:24 م,
60,777,0,16/05/2022,01:59:45 م,138.25
