Prod_id,Prod_name,Group_id,Group_type,Model_id,Price_1,Cost
1,وفير 4جركن*4لتر,8,3,18,150,143.25
2,هاربك18عبوة*190مل,1,3,18,160,151.5
3,مورال ملمع موبيليا12عبوة*400مل,1,3,18,228,218
4,سوفت روزفنادق12عرض*2بكرة,12,1,16,300,287.5
5,فاين550منديل*18قطعة,12,1,16,230,208
6,فاميليا مطبخ4عروض*6قطع,12,1,16,125,118
7,فاميليا550منديل*18قطعة,12,1,16,230,216
8,سنس مطبخ نص كيلو*6قطع,12,1,16,140,107.85
9,سنس(3*1)6عروض*3قطع,12,1,16,165,156.4
10,شامبو فاتيكا 400ملي زيتي تساقط,25,4,18,240,230.3
11,كارمن جيب12عرض*10قطع,10,1,16,70,58
12,فاين جيب12عرض*10قطع,12,1,16,98,92.11
13,فاميليا جيب12عرض*10قطع,12,1,16,105,90
14,فاميليا بكرتين*20عروض,12,1,16,90,80
15,بابيا550منديل*18قطعه,12,1,16,250,236
16,معطرجنة سهر اليالي,1,4,17,55,43
17,مشبك خشب لوكس,1,5,,9,4.75
18,شامبو كلير ظرف حريمي,1,4,18,90,84
19,صن لايت2.5ك *4شنط عرض جردل,12,2,20,208,200
20,مستر شاهين12عبوة,9,6,18,55,50
21,ماكس كيلر12عبوة,1,6,18,140,120.19
22,مقشة روما لوكس الهلال12قطعة,1,5,,196,187.45
23,مقشة ايديال الهلال12قطعة,1,5,,155,144.05
25,مقشة هلين الهلال12قطعة,1,5,,265,254.24
26,مقشة خشنة لوكس 12قطعة,1,5,,120,100
27,ليدر3ك عرض*4شنط,9,2,20,260,247
28,ليدر زجاج 12*600مل,9,3,18,105,100.75
29,ليدر70جرام*32كيس ب2ج,9,3,20,60,56
30,ليدر8ك*2شنطة,9,2,20,300,290
31,ليدر350جرام*8كيس ب10ج,9,3,20,70,60.5
32,ليدر170جرام*12كيس ب5ج,9,3,20,45,42.6
33,ليدر1050جرام*4كيس,9,3,20,70,68
34,لوكس120جرام*48قطعة,8,4,19,320,300
35,لوف زووووبه*48ق,10,5,,170,166
36,لوف حموم,1,4,,18,13.5
37,لوف اروبة,1,5,,220,209.35
38,لفة ورق بوتجازاصفر,1,5,,185,174
39,لانج9ك*2شنطة,8,2,,270,265
40,لاصق بوتجاز,11,5,,55,52
41,كيروكس زاحف  كبير,1,6,18,315,305
42,كمفورت ظرف 450مل,1,2,17,120,97
43,كلوريتا12عبوة*1كجم,9,2,18,105,100
44,كلوركس5*1,11,2,18,100,94
45,كلوركس باودر,11,2,20,70,66.5
46,كلوركس اللوان ظرف,25,2,18,75,68.75
47,كلوركس اللوان زجاج15عبوة*950مل,9,2,18,340,337
48,كلوركس اللوان ب7ج ظرف300مل*24ظرف,8,2,18,150,144.5
49,كلوركس اللوان نص لتر12عبوة*475مل,9,2,18,150,145
50,كلوركس ابيض ظرف500مل*24كيس,9,2,18,105,100
51,كلوركس ابيض زجاج 1.2لتر*15 عبوة,9,2,18,225,219
52,كلوركس ابيض جالون3.79لتر*3جركن,9,2,18,130,124
53,فريده توت 460مل*6عبوة,25,4,17,140,132.45
54,دستة فازلين 70ملي كبير,11,4,,76,67.62
55,دستة فازلين 30ملي صغير,11,4,,47,40.18
56,مقشة خشنة عادية12قطعة,1,5,,90,75
57,مقشة الفراعنة 12قطعة,1,5,,82,75
58,مقشة التعلب كبيرة 12قطعة,1,5,,158,150
59,كارت سلك عادي,1,5,19,15,8.334
60,صن سويت 12قطعة*6كيس,25,4,,240,220
61,صانسيلك ظرف,1,4,18,70,68
62,شماعة لوكس10دستة,1,5,,295,285
63,شاور ماي واي1.5لتر*8جركن,1,4,18,185,176
64,شاور ماي واي2لترسهر اليالي,1,4,18,173,165
65,شامبو فاتيكا ظرف5مل*5كيس,25,4,18,125,108.139
66,شامبو كوين3لتر,11,4,18,38,27.937
67,سويت سوري,1,4,19,58,53.125
68,سويت ماي *4علب,1,4,19,220,197
69,سوبر باور عرض,25,6,18,98,90
70,دستة شامبو كلير 600ملى رجالى,11,1,16,600,590
71,سباركل40*10مشكل ,10,4,18,145,122.8
72,زيت فاتيكا ظرف*8كيس,1,,21,24,19.5
73,جل هيركود ب1.5ج,9,4,21,15,12.17
74,جل هيركود ب2ج,11,4,21,20,16.667
75,بلسم كوين3لتر,25,4,18,38,27.937
76,بخور نموس مستورد,11,6,19,55,45.56
77,باور ماي واي,25,6,18,17,13.333
78,بامبرز شورت مقاس5,10,1,16,300,236
79,بامبرز شورت مقاس3,10,1,16,380,262.38
80,كامى 120جرام*48قطعة,8,4,19,270,264
81,كامى 170جرام*48قطعة,8,4,19,420,411
82,كارت سلك بريمو,1,5,19,60,51.47
83,فازلين ظرف,11,4,14,90,80.35
84,قطعة مناديل120مبلل,11,1,19,18,11.6
85,فيري ظرف,1,3,21,20,15.76
86,فيري مركز 450مل*10قطع,25,3,18,180,165
87,فيبا4.600لتر ,9,3,18,220,168
88,فيبا2لتر*6جركن,9,3,18,130,118
89,فلاش الهلالي*12عبوة,9,6,18,30,21.5
90,فلاش العمدة*12عبوة,9,6,18,49,42
91,فلاش الخبير*12عبوة,9,6,18,45,27
92,شكارة فل2.5ك عادية,9,3,20,75,69.25
93,شكارة فل10ك عاديةازرق,9,3,20,85,82.5
94,شكارة فل13ك اوتوماتيك,9,2,20,160,154
95,علبة فرش اسنان,11,4,,40,31
96,حمام فاتيكا ظرف اخضر بيض وعسل ,1,4,13,65,60
97,بخور شيخ العرب كمار,25,4,19,150,90
98,صابون همسة,9,4,18,16,13
99,صابون نابلسي شاهين ,25,4,19,112,80
100,صابون مطبخ120جرام*60قطعة,9,4,19,127,122
101,هابي داي وسط,12,1,22,155,125
102,دستة كلوز اب صغير,11,4,13,70,59.75
103,قطعه لهلوبه,1,4,19,17,13.5
104,صابون فاكس110جرام*48قطعة,8,4,19,205,185
105,حمام كريم منك نص اسودبالعسل,11,4,13,160,154
106,صابون ريفولي120جرام*48قطعة,9,4,19,275,268.48
107,صابون دوش,1,4,19,120,112.74
108,صابون جيني,8,4,19,190,180
109,صابون جوي120جرام*48ق,9,4,19,260,245.55
110,صابون جونسون120جرام72قطعة,10,4,19,318,314
111,شكارة وفير13ك اوتوماتيك,9,2,20,147,131.34
112,شكارة وفير10ك عادية اخضر,9,3,20,80,74.49
113,شكارة مسك,9,2,20,155,150
114,شكارة روعة 18 ك,9,3,20,250,232.32
115,هاربك 450مل كبير,1,6,18,400,295
116,شكارة راندي 2.25 ك,10,3,20,30,24.25
117,شرشوبة قطيفة,1,5,,7,5.1
118,شرشوبة بيضاء فتل,1,5,,6,2.8
119,شامبو هيدنشولدرز دبل ظرف,1,4,18,188,163.3
120,شامبو كلير ظرف رجالي,1,4,18,90,84
121,سوبر فل8ك*2شنطة,9,2,20,260,250
122,سوبر فل3ك*4شنطة,9,2,20,220,209
123,سلك مواعين,12,5,,132,122.5
124,صابون سافانا*48قطعة,9,4,19,305,296
125,ياسمين فيردال,1,4,18,30,19.833
126,ورد فيردال,1,4,18,25,19.833
127,شاور كريزي لاف2لتر عبيرالزهور,1,4,18,149,135
128,مانجو فيردال,1,4,18,35,23.5
129,لمون فيردال,1,4,18,25,18.833
130,فرولة فيردال,1,7,18,30,21.667
131,عود فيردال,11,4,18,35,26.333
132,لافندار فيردال,1,4,18,35,28.333
133,رائحة داوني تي ار 13,25,4,18,310,250
134,رائحة بريل تي ار 13,25,7,18,300,263
135,رائحة برسيل جل تي ار 700,25,7,18,200,155
136,خوخ فيردال,1,4,18,25,18.833
137,توت بري فيردال,1,4,18,38,33
138,تفاح فيردال,1,4,18,30,19.833
139,شكارة مسحوق زهره 14 كيلو,9,2,20,125,115
140,علبة زهرة الطربوش,1,3,21,13,10.233
141,ملاسيون كفر الزيات,1,6,18,25,22.5
142,ملاسيون المصرية,1,6,18,16,14
143,حمام كريم منك نص احمر بالثوم,11,4,13,170,163.046
144,زيت فاتيكاكبير180مل صبار,25,4,18,140,131.32
145,زجاجة ديتول120مل,11,4,18,25,18.5
146,عصايا زان *48قطعة,1,5,,375,355
147,رالي توكس 12 عبوة,1,6,18,200,193.39
148,حمام فاتيكا 1/4 ابيض بالثوم,25,6,13,148,139.405
149,راجون زاحف500مل,1,6,18,290,280
150,راجون طائر200ملي,1,6,18,166,140
151,دورو فريش16عرض4قطع 100جرام,8,4,19,300,279
152,دورو عناية150*30ق زيتون,8,4,19,250,224
153,دورو عناية150*30ق جلسرين,8,4,19,240,222
154,دورو110جرام*48ق,25,4,19,300,290
155,دستة ودانة100عود,25,4,,50,39
156,شاور فريدة 3لتر,25,4,18,325,319.36
157,دستة مساحة عادية,1,5,,70,41.667
158,دستة مساحة الهلال الوان,1,5,,168,158.77
159,دستة لمامة الحصان,1,5,,140,130
160,دستة لمامة عادية2ريشه,1,5,,67,60
161,جردل ليدر5ك,9,2,20,105,101.25
162,جردل بيضاوي الهلال والنجمة,1,5,,70,62.662
163,جردل بودي التعلب,1,5,,68,50
164,شاور كريزي لاف2لتر سهر الليالي,1,4,18,149,135
165,قطعة معطر جهاز فريدا,11,3,18,30,23
166,تايد2.5ك*4شنط  ,8,2,20,275,266.47
167,تايد10ك*2شنطة,8,2,20,420,408
168,تايد350جرام*10كيس,1,3,20,70,68
169,تايد900جرام*4كيس,1,3,20,80,75.66
170,بيرسول,8,6,,225,217
171,بونكس11ك*2شنطة,12,2,20,380,323
172,بونكس5ك*3شنطة,12,2,20,280,250
173,بودرة راجون*12عبوة,1,6,20,63,51.667
174,بريل ظرف,1,3,21,38,34.27
175,بريل1000مل*9عبوات صاروخ,8,3,20,240,228.89
176,بريل زجاج600مل*,8,3,18,195,186.6
177,بريل2.5لتر*جراكن  ,8,3,18,200,189.77
178,برسيل8ك*2شنطة,8,2,20,490,478.8
179,برسيل80جرام*12كيس ب3ج,1,3,20,31,29.02
180,برسيل جل اللوان1لتر *6عبوات,1,2,18,260,247.66
181,برسيل جل اسود1لتر *6عبوات,1,2,18,260,245.93
182,برسيل50جرام*16كيس ب2ج,1,3,20,30,27.95
183,باهي90جرام*16كيس ب2ج,1,3,20,30,23.03
184,باهي40جرام*36كيس ب1ج,1,3,20,29,22
185,هلو بيبي جونيور,12,1,16,90,86.2
186,هلو بيبي كبير,12,1,16,85,80.2
187,هلو بيبي وسط,12,1,16,80,78.2
188,هلو بيبي صغير,12,1,16,72,69.2
189,سلفي جونيور,12,1,16,90,86
190,سلفي كبير,12,1,16,85,80
191,سلفي وسط,12,1,16,80,78
192,سلفي صغير,12,3,16,66,56.2
193,دامبلز جونيور,12,1,16,86,83
194,دامبلز كبير,12,1,16,80,77
195,دامبلز وسط,12,1,16,79,75
196,دامبلز صغير,12,1,16,69,66.4
197,سيتي بيبي جونيور,12,1,16,90,87
198,سيتي بيبي كبير,12,1,16,83,81
199,سيتي بيبي وسط,12,1,16,82,79
200,سيتي بيبي صغير,12,1,16,73,70
201,برافو جونيور,12,1,16,90,85.4
202,برافو كبير,12,1,16,85,79.4
203,برافو وسط,12,1,16,85,75
204,برافو صغير,12,1,16,80,56
205,شامبو فاتيكا 200ملي زيتي تساقط,25,4,18,152,143.08
206,شامبو فاتيكا200ملي اصفر ضد القشره,25,4,18,140,133.86
