Invoices_h_r_id,Account_id,Emp_id,Date_d,Time_t,Total_total
1,315,1,01/01/2022,02:55:52 م,714
7,204,0,02/01/2022,11:11:21 ص,67.5
16,222,23,03/01/2022,12:55:51 م,
34,685,23,04/01/2022,11:47:41 ص,739
57,290,15,05/01/2022,11:25:09 ص,482.5
73,905,22,06/01/2022,11:09:23 ص,199
96,477,15,08/01/2022,02:09:30 م,150
119,405,22,09/01/2022,01:52:57 م,610
8,1311,1,02/01/2022,01:22:46 م,118
136,301,22,09/01/2022,10:03:38 م,866
17,222,23,03/01/2022,01:18:01 م,484.5
2,472,1,01/01/2022,04:24:53 م,400
74,1481,22,06/01/2022,03:27:37 م,60
9,1689,22,02/01/2022,05:47:47 م,
35,685,23,04/01/2022,11:50:26 ص,
3,472,1,01/01/2022,04:25:37 م,62.5
18,315,1,03/01/2022,02:08:30 م,
36,216,23,04/01/2022,11:51:21 ص,92.5
58,685,23,05/01/2022,12:52:11 م,68
19,315,1,03/01/2022,02:08:53 م,73
97,431,15,08/01/2022,03:26:12 م,
75,315,1,06/01/2022,03:37:25 م,736.5
10,1318,22,02/01/2022,05:54:10 م,8645
4,1487,15,01/01/2022,04:54:02 م,930
20,1716,23,03/01/2022,02:10:03 م,308
37,183,1,04/01/2022,04:56:54 م,260
59,218,22,05/01/2022,12:57:54 م,
60,218,22,05/01/2022,12:58:17 م,206
11,1689,22,02/01/2022,05:55:57 م,26.75
21,733,23,03/01/2022,03:35:46 م,87.5
38,256,23,04/01/2022,04:57:33 م,294
5,1481,22,01/01/2022,06:05:10 م,52
12,231,22,02/01/2022,05:56:59 م,177
22,2079,1,03/01/2022,03:36:33 م,68
6,438,23,01/01/2022,06:08:36 م,75
39,600,23,04/01/2022,05:00:50 م,166.5
61,2135,0,05/01/2022,12:59:28 م,268
13,852,0,02/01/2022,06:08:02 م,61.5
23,314,22,03/01/2022,05:44:58 م,227.5
40,931,1,04/01/2022,05:02:01 م,161
14,852,0,02/01/2022,06:09:36 م,
15,1697,22,02/01/2022,10:07:29 م,332
24,168,22,03/01/2022,06:37:02 م,143
41,2031,22,04/01/2022,05:53:08 م,100
25,905,22,03/01/2022,07:30:46 م,3321.5
26,649,1,03/01/2022,09:14:56 م,1370
27,151,1,03/01/2022,09:16:27 م,62
28,680,23,03/01/2022,09:17:06 م,72
29,1172,1,03/01/2022,09:18:50 م,1046
42,1036,23,04/01/2022,07:28:44 م,101
62,977,15,05/01/2022,01:52:28 م,19.5
30,710,1,03/01/2022,09:21:26 م,561
76,1204,23,06/01/2022,04:45:26 م,162
138,733,23,10/01/2022,12:09:30 م,24.5
146,968,15,11/01/2022,11:12:33 ص,485
120,1688,1,09/01/2022,04:33:12 م,562.5
98,431,15,08/01/2022,03:26:40 م,411
43,649,1,04/01/2022,08:03:17 م,2282.5
