Order_d_id,Order_h_id,Prod_id,Date_d,Time_t,Price_1,Total_qty_all,Total_total
1,1,123,01/01/2022,10:52:38 ص,94,250,23500
1044,219,617,24/01/2022,11:12:40 ص,156,10,1560
3,2,186,01/01/2022,01:01:05 م,53.2000007629395,600,31920
4,2,185,01/01/2022,01:01:21 م,56.2000007629395,250,14050
5,3,233,01/01/2022,02:30:06 م,217,100,21700
6,3,234,01/01/2022,02:30:18 م,218,50,10900
7,4,50,01/01/2022,02:30:51 م,96.0599975585938,100,9606
15,5,521,02/01/2022,01:44:18 م,103,285,29355
9,4,50,01/01/2022,03:34:41 م,96.0599975585938,4,384.24
16,5,9,02/01/2022,01:44:34 م,110,40,4400
11,4,48,01/01/2022,03:35:41 م,144.5,98,14161
17,5,8,02/01/2022,01:44:48 م,96,25,2400
18,6,293,02/01/2022,03:50:34 م,59.5,296,17612
12,4,43,01/01/2022,03:38:11 م,90,20,1800
13,4,52,01/01/2022,03:38:30 م,108.5,10,1085
14,4,47,01/01/2022,03:38:37 م,299,25,7475
19,6,302,02/01/2022,03:50:43 م,35.0200004577637,110,3852.2
20,6,306,02/01/2022,03:50:59 م,44.5200004577637,273,12153.96
21,6,308,02/01/2022,03:51:07 م,271.480010986328,32,8687.36
22,6,309,02/01/2022,03:51:20 م,155.770004272461,50,7788.5
23,6,109,02/01/2022,03:51:31 م,199.669998168945,12,2396.04
24,6,292,02/01/2022,03:51:49 م,53.9500007629395,102,5502.9
25,7,13,02/01/2022,04:52:47 م,70,250,17500
26,8,693,02/01/2022,04:54:23 م,370.899993896484,33,12239.7
27,8,690,02/01/2022,04:54:30 م,261.820007324219,50,13091
56,14,225,03/01/2022,12:43:39 م,132.667007446289,105,13930.04
57,14,227,03/01/2022,12:44:05 م,115,75,8625
29,9,486,02/01/2022,10:10:51 م,23.3999996185303,150,3510
30,9,485,02/01/2022,10:11:06 م,23.3999996185303,150,3510
31,9,845,02/01/2022,10:11:21 م,35.3300018310547,100,3533
32,9,299,02/01/2022,10:11:32 م,35.7799987792969,50,1789
33,9,1,02/01/2022,10:11:41 م,112.76000213623,30,3382.8
191,42,123,05/01/2022,12:46:22 م,95,200,19000
36,10,607,02/01/2022,10:19:27 م,132.333999633789,75,9925.05
