ORDER_R_D_ID,ORDER_R_H_ID,ORDER_H_ID,PROD_ID,DATE_D,TIME_T,PRICE_1,TOTAL_QTY_ALL,TOTAL_TOTAL
2,2,48,161,05/01/2022,04:02:17 م,76.25,2,152.5
4,2,48,93,05/01/2022,04:02:23 م,73,7,511
6,2,48,94,05/01/2022,04:02:34 م,135,2,270
16,5,148,161,16/01/2022,02:34:25 م,76.25,1,76.25
18,5,148,121,16/01/2022,02:34:33 م,188,1,188
20,5,148,93,16/01/2022,02:34:38 م,73,5,365
22,5,148,92,16/01/2022,02:34:48 م,62.5,1,62.5
12,4,108,193,11/01/2022,04:57:19 م,66.5999984741211,6,399.6
14,4,108,194,11/01/2022,04:57:27 م,61.5999984741211,2,123.2
24,5,148,32,16/01/2022,02:34:54 م,42.5999984741211,1,42.6
26,6,278,194,29/01/2022,01:53:44 م,61.5999984741211,1,61.6
28,10,343,27,02/02/2022,04:45:53 م,200,8,1600
30,10,343,161,02/02/2022,04:45:58 م,76.25,5,381.25
32,10,343,29,02/02/2022,04:46:13 م,56,1,56
34,10,343,94,02/02/2022,04:46:21 م,135,2,270
36,10,343,32,02/02/2022,04:46:27 م,42.5999984741211,3,127.8
38,10,343,31,02/02/2022,04:46:34 م,60.5,1,60.5
40,10,343,93,02/02/2022,04:46:39 م,73,11,803
42,10,343,92,02/02/2022,04:46:48 م,62.5,5,312.5
44,10,343,121,02/02/2022,04:46:55 م,188,1,188
46,10,343,122,02/02/2022,04:47:01 م,162,0.25,40.5
48,11,385,185,07/02/2022,03:18:39 م,68.1999969482422,1,68.2
50,11,385,186,07/02/2022,03:18:43 م,63.2000007629395,1,63.2
52,12,391,191,07/02/2022,03:48:40 م,62.2000007629395,1,62.2
54,13,404,93,08/02/2022,01:03:20 م,73,9,657
56,13,404,121,08/02/2022,01:03:40 م,188,1,188
58,13,404,161,08/02/2022,01:03:51 م,76.25,2,152.5
60,13,404,31,08/02/2022,01:04:27 م,60.5,2,121
62,13,404,32,08/02/2022,01:04:42 م,42.5999984741211,2,85.2
64,13,404,113,08/02/2022,01:04:54 م,130.75,2,261.5
66,13,404,94,08/02/2022,01:05:07 م,135,1,135
68,14,48,30,08/02/2022,01:05:55 م,227.5,1,227.5
70,14,148,92,08/02/2022,01:06:07 م,62.5,1,62.5
120,29,148,93,14/03/2022,01:56:01 م,73,5,365
74,17,482,194,15/02/2022,02:16:08 م,61.5999984741211,1,61.6
76,18,532,93,20/02/2022,06:32:50 م,73,5,365
78,18,532,94,20/02/2022,06:32:58 م,135,2,270
80,19,48,92,20/02/2022,06:33:42 م,62.5,1,62.5
82,20,598,186,27/02/2022,01:59:36 م,63.2000007629395,3,189.6
84,21,627,185,01/03/2022,02:14:41 م,68.1999969482422,1,68.2
86,22,628,161,01/03/2022,04:30:48 م,76.25,1,76.25
88,22,628,32,01/03/2022,04:30:58 م,42.5999984741211,1,42.6
90,22,628,94,01/03/2022,04:31:03 م,135,1,135
92,22,628,93,01/03/2022,04:31:17 م,73,3,219
162,40,1089,306,11/04/2022,04:59:50 م,44.5200004577637,2,89.04
96,24,681,94,06/03/2022,02:21:50 م,135,4,540
98,24,681,161,06/03/2022,02:21:57 م,76.25,1,76.25
100,24,681,28,06/03/2022,02:22:04 م,82.75,1,82.75
102,24,681,30,06/03/2022,02:22:10 م,227.5,1,227.5
104,25,730,93,09/03/2022,07:03:22 م,73,6,438
106,25,730,161,09/03/2022,07:03:29 م,76.25,1,76.25
108,25,730,92,09/03/2022,07:03:52 م,62.5,5,312.5
110,25,730,94,09/03/2022,07:04:00 م,135,1,135
112,25,730,113,09/03/2022,07:04:15 م,130.75,2,261.5
114,26,601,36,12/03/2022,02:19:16 م,11,45,495
116,27,778,759,13/03/2022,08:08:34 م,126.699996948242,10,1267
118,28,778,759,13/03/2022,09:38:49 م,126.699996948242,1,126.7
122,29,148,92,14/03/2022,01:56:08 م,62.5,2,125
124,29,404,113,14/03/2022,01:56:22 م,130.75,1,130.75
126,29,148,94,14/03/2022,01:56:34 م,135,1,135
128,29,48,31,14/03/2022,01:56:39 م,60.5,1,60.5
130,30,872,161,22/03/2022,01:19:14 م,76.25,1,76.25
132,30,872,121,22/03/2022,01:19:22 م,188,1,188
134,30,872,92,22/03/2022,01:19:43 م,62.5,4,250
136,30,872,93,22/03/2022,01:19:51 م,73,8,584
138,32,148,30,22/03/2022,01:20:59 م,227.5,1,227.5
150,38,1027,838,04/04/2022,04:57:46 م,67.5,2,135
142,34,924,304,28/03/2022,07:15:31 م,348,2,696
144,35,964,759,28/03/2022,09:19:10 م,126.699996948242,2,253.4
152,38,1027,93,04/04/2022,04:57:50 م,73,8,584
154,38,1027,92,04/04/2022,04:57:55 م,62.5,3,187.5
156,38,1027,32,04/04/2022,04:58:00 م,42.5999984741211,2,85.2
158,38,1027,30,04/04/2022,04:58:08 م,238,1,238
160,39,640,660,06/04/2022,10:35:44 ص,62,50,3100
164,41,148,93,13/04/2022,09:53:32 م,77.5,3,232.5
166,41,148,94,13/04/2022,09:53:49 م,147,1,147
168,41,148,121,13/04/2022,09:54:09 م,198,1,198
170,41,148,94,13/04/2022,09:54:15 م,147,1,147
172,43,1087,595,16/04/2022,01:41:07 م,83,10,830
174,44,1181,595,17/04/2022,01:19:24 م,83,1,83
176,45,1041,649,20/04/2022,10:28:51 م,105,1,105
178,46,1041,649,20/04/2022,10:35:28 م,105,1,105
192,49,1181,595,26/04/2022,05:34:34 م,83,6,498
194,50,1141,89,28/04/2022,01:34:52 م,21,3,63
196,51,1350,89,28/04/2022,09:28:43 م,22,1,22
198,52,1167,245,30/04/2022,01:03:29 م,275,10,2750
200,53,1398,93,10/05/2022,04:10:51 م,82.5,14,1155
202,53,1398,94,10/05/2022,04:10:56 م,154,1,154
186,48,1246,93,21/04/2022,03:29:56 م,82.5,7,577.5
188,48,1246,94,21/04/2022,03:30:11 م,154,5,770
190,48,1246,113,21/04/2022,03:30:16 م,150,2,300
204,53,1398,92,10/05/2022,04:11:02 م,69.25,5,346.25
206,53,1398,31,10/05/2022,04:11:14 م,60.5,4,242
208,54,1441,163,14/05/2022,03:15:11 م,50,2,100
210,54,1441,724,14/05/2022,03:15:19 م,43.3330001831055,4,173.33
212,58,1476,93,16/05/2022,01:55:32 م,82.5,5,412.5
214,58,1476,94,16/05/2022,01:55:43 م,154,1,154
216,58,1476,30,16/05/2022,01:56:10 م,290,1,290
218,58,1476,113,16/05/2022,01:56:21 م,150,1,150
220,58,1476,161,16/05/2022,01:56:28 م,101.25,1,101.25
222,58,1476,121,16/05/2022,01:57:12 م,250,1,250
224,60,103,28,16/05/2022,01:59:54 م,75.75,1,75.75
226,60,730,92,16/05/2022,02:00:10 م,62.5,1,62.5
228,61,1489,185,17/05/2022,01:45:45 م,86.1999969482422,1,86.2
230,61,1489,187,17/05/2022,01:45:50 م,78.1999969482422,1,78.2
232,63,1523,759,19/05/2022,01:51:08 م,126.713996887207,1,126.71
